game_id,game_url,end_time_utc,rated,time_class,time_control,base_secs,inc_secs,kind,rules,your_side,your_rating,your_result_detail,your_result,opponent_username,opponent_rating,eco,opening_name,termination,moves_count,accuracy_white,accuracy_black
6ab07353-c191-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44298038725,2022-04-21T16:47:42+00:00,True,rapid,600,,,unknown,chess,white,1378,win,W,Udemos,1379,A45,,Sanjaykshetri123 won by resignation,26,,
d908a10c-c192-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44298643167,2022-04-21T16:53:22+00:00,True,rapid,600,,,unknown,chess,black,1386,win,W,Dedios92,1369,C50,,Sanjaykshetri123 won by checkmate,23,,
4694846a-c19c-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44302798989,2022-04-21T18:10:16+00:00,True,rapid,600,,,unknown,chess,black,1386,stalemate,D,mendeechuk,1398,C60,,Game drawn by stalemate,64,,
4edb9692-c19e-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44303475839,2022-04-21T18:21:01+00:00,True,rapid,600,,,unknown,chess,black,1379,checkmated,L,nimitz02,1428,C50,,nimitz02 won by checkmate,33,,
cee81604-c19f-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44304089765,2022-04-21T18:33:01+00:00,True,rapid,600,,,unknown,chess,white,1372,abandoned,L,SlijepiVuk,1419,D00,,SlijepiVuk won - game abandoned,31,,
91d45590-c1a1-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44305163227,2022-04-21T18:50:29+00:00,True,rapid,600,,,unknown,chess,black,1380,win,W,Leszekkoz,1351,D02,,Sanjaykshetri123 won by resignation,45,,
ed61eb29-c1a3-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44305880611,2022-04-21T18:57:07+00:00,True,rapid,600,,,unknown,chess,white,1388,win,W,Aleksander1961,1391,D00,,Sanjaykshetri123 won by checkmate,35,,
d7f2caf2-c1bf-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44317845463,2022-04-21T22:23:46+00:00,True,rapid,600,,,unknown,chess,black,1379,resigned,L,Zero_Chill,1367,C23,,Zero_Chill won by resignation,79,,
b61ee68f-c1c1-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44318958217,2022-04-21T22:29:27+00:00,True,rapid,600,,,unknown,chess,white,1386,win,W,GhelLauzon,1331,A80,,Sanjaykshetri123 won by checkmate,17,,
ab438d95-c1c2-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44319043319,2022-04-21T22:44:16+00:00,True,rapid,600,,,unknown,chess,black,1395,win,W,Punkachu,1406,C25,,Sanjaykshetri123 won by resignation,38,,
de7a98d5-c1c4-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44320187819,2022-04-21T22:47:00+00:00,True,rapid,600,,,unknown,chess,black,1388,resigned,L,mnatonski,1429,C20,,mnatonski won by resignation,6,,
f66d9440-c1c4-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44320195561,2022-04-21T22:57:13+00:00,True,rapid,600,,,unknown,chess,white,1380,checkmated,L,hakikcekici,1400,A40,,hakikcekici won by checkmate,56,,
6305c32e-c1c6-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44320796109,2022-04-21T23:17:19+00:00,True,rapid,600,,,unknown,chess,white,1388,win,W,will_pm,1362,A40,,Sanjaykshetri123 won by checkmate,94,,
346d3aaf-c1ce-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44324349073,2022-04-22T00:01:27+00:00,True,rapid,600,,,unknown,chess,white,1381,resigned,L,fakheri7,1442,D00,,fakheri7 won by resignation,21,,
